id,full_name,pdes,name,diameter,rot_per,BV,UB,IR,spec_B,spec_T,a
a0005261,"  5261 Eureka (1990 MB)",5261,Eureka,1.878,2.6902,,,,Sr,,1.523537590547471
a0005275,"  5275 Zdislava (1986 UU)",5275,Zdislava,,5.2008,,,,Sa,,2.199453770061267
a0005349,"  5349 Paulharris (1988 RA)",5349,Paulharris,,7.890,,,,C,,2.788174334658321
a0005392,"  5392 Parker (1986 AK)",5392,Parker,,87.15,,,,Sl,,2.350068674467816
a0005407,"  5407 (1992 AX)",5407,,,2.5488,,,,Sk,,1.838253131010811
a0005510,"  5510 (1988 RF7)",5510,,4.314,3.2,,,,S,,2.190506831375423
a0005585,"  5585 Parks (1990 MJ)",5585,Parks,,10.344,,,,Ch,,2.712125202669111
a0005621,"  5621 Erb (1990 SG4)",5621,Erb,3.302,8.027,,,,,,2.302570865038689
a0005641,"  5641 McCleese (1990 DJ)",5641,McCleese,5.68,418.,,,,A,,1.819569397152714
a0005642,"  5642 Bobbywilliams (1990 OK1)",5642,Bobbywilliams,,4.8341,,,,,,2.315711405049041
a0005649,"  5649 Donnashirley (1990 WZ2)",5649,Donnashirley,2.600,,,,,S,,2.279771705030533
a0005682,"  5682 Beresford (1990 TB)",5682,Beresford,4.125,3.769,,,,,,2.297004412208861
a0005720,"  5720 Halweaver (1984 FN)",5720,Halweaver,3.881,3.8883,,,,,,2.294159221337915
a0005732,"  5732 (1988 WC)",5732,,,3.1,,,,S,,2.22231479723276
a0005738,"  5738 Billpickering (1989 UY3)",5738,Billpickering,,10.4,,,,,,2.7359521657914
a0005817,"  5817 Robertfrazer (1989 RZ)",5817,Robertfrazer,,4.051,,,,S,,2.407715045242732
a0005867,"  5867 (1988 RE)",5867,,,,,,,,,1.821141762778017
a0005870,"  5870 Baltimore (1989 CC1)",5870,Baltimore,7.54,,,,,,,2.794629015559375
a0005892,"  5892 Milesdavis (1981 YS1)",5892,Milesdavis,4.974,10.59,,,,S,,2.384634264155949
a0005929,"  5929 Manzano (1974 XT)",5929,Manzano,4.217,3.7596,,,,,,2.35696781793911
a0005999,"  5999 Plescia (1987 HA)",5999,Plescia,7.078,5.392,,,,,,2.279979357760416
a0006041,"  6041 Juterkilian (1990 KL)",6041,Juterkilian,,13.57,,,,,,2.445834133018485
a0006042,"  6042 Cheshirecat (1990 WW2)",6042,Cheshirecat,,10.050,,,,,,3.038465144396259
